Titulo,ISBN,Genero,Año,Autor
El Codigo Da Vinci,978-84-08-04987-0,Thriller,Dos Mil Tres,Dan Brown
Kafka en la Orilla,978-84-8383-113-1,Realismo Magico,2002,Haruki Murakami
Siddhartha,978-84-264-1517-4,Filosofia,1922,Hermann Hesse
Los Pilares de la Tierra,978-84-01-46271-9,Novela Historica,1989,Ken Follett
La Casa de los Espiritus,978-84-9989-090-3,Realismo Magico,1982,Isabel Allende
Veinte Mil Leguas de Viaje Submarino,978-84-670-3486-1,Ciencia Ficcion,1870,Julio Verne
Historias de Cronopios y de Famas,978-84-663-3058-2,Relato Corto,1962,Julio Cortazar
El Nombre del Viento,978-84-01-35201-4,Fantasia Epica,2007,Patrick Rothfuss
El Perfume,978-84-322-2977-1,Novela Historica,1985,Patrick Suskind
Rebelion en la Granja,978-84-9989-106-1,Distopia,mil novecientos cuarenta y cinco,George Orwell
Jane Eyre,978-84-9105-010-0,Gotico/Romance,1847,Charlotte Bronte
La Odisea,978-84-249-1423-2,Epopeya,Aprox VIII a.C.,Homero
El Hobbit,978-84-450-7203-4,Fantasia,1937,J.R.R. Tolkien
Ensayo sobre la Ceguera,978-84-204-7471-7,Novela Filosofica,1995,Jose Saramago
Viaje al Centro de la Tierra,978-84-670-3620-9,Ciencia Ficcion,1864,Julio Verne
El Amor en los Tiempos del Colera,978-84-9759-417-9,Romance,1985,Gabriel Garcia Marquez
Las Aventuras de Tom Sawyer,978-84-670-3690-2,Aventura Juvenil,1876,Mark Twain
El Conde de Montecristo (Vol. I),978-84-204-7494-6,Aventura Historica,1844,Alexandre Dumas
Don Quijote de la Mancha (Volumen 2),978-84-233-5189-4,Clasico,1615,Miguel de Cervantes
Memorias de Africa,978-84-663-3051-3,Autobiografia,1937,Isak Dinesen
La Ladrona de Libros,978-84-9908-142-1,Novela Historica,2005,Markus Zusak
El Alquimista,978-84-08-06688-4,Novela Filosofica,1988,Paulo Coelho
Caperucita en Manhattan,978-84-233-5154-2,Novela Contemporanea,,Carmen Martin Gaite
El Jardín Secreto,978-84-9105-045-2,Juvenil Clasico,1911,Frances Hodgson Burnett
El Diario de Ana Frank,978-84-9759-305-9,Biografico,1947,Ana Frank
El Laberinto de los Espiritus,978-84-08-16321-7,Misterio/Thriller,2016,Carlos Ruiz Zafon
El Psicoanalista,978-84-01-35251-9,Thriller Psicologico,2002,John Katzenbach
Poeta en Nueva York,978-84-376-0275-2,Poesia,1930,Federico Garcia Lorca
La Tregua,978-84-663-3532-7,Novela,Sesenta,Mario Benedetti
Los Juegos del Hambre,978-84-92918-02-1,Distopia Juvenil,2008,Suzanne Collins
La Guerra y la Paz (Vol. I),978-84-9105-182-4,Novela Historica,1869,Leon Tolstoi
El Guardián entre el Centeno,978-84-450-7164-8,Novela de Formacion,1951,J.D. Salinger
Veinte poemas de amor,978-84-663-3162-6,Poesia,1924,Pablo Neruda
Marina,978-84-08-09519-8,Juvenil,1999,Carlos Ruiz Zafon
Sapiens: De animales a dioses,978-84-9992-622-4,Historia,2014,Yuval Noah Harari
Cumbres Borrascosas (Otra Edición),978-84-206-5470-8,Gotico/Romance,1847,Emily Bronte
La Historia Interminable,978-84-204-7389-5,Fantasia,Setenta y nueve,Michael Ende
El Tunel,978-84-322-2821-7,Existencialismo,1948,Ernesto Sabato
Como Agua para Chocolate,978-84-7888-061-6,Realismo Magico,1989,Laura Esquivel
Lo que el viento se llevó,978-84-9105-081-0,Romance Historico,1936,Margaret Mitchell
El Corazón de las Tinieblas,978-84-376-0278-3,Novela Psicologica,1899,Joseph Conrad
Madame Bovary,978-84-206-5389-3,Realismo,1856,Gustave Flaubert
La Dama de las Camelias,978-84-204-7476-2,Romance Clasico,1848,Alexandre Dumas (hijo)
Narraciones Extraordinarias,978-84-9105-021-6,Terror Gotico,1840,Edgar Allan Poe
Cantar de Mio Cid,978-84-376-0482-4,Epopeya,SIGLO XIII,Anonimo
El Juego de Ender,978-84-9800-098-9,Ciencia Ficcion,1985,Orson Scott Card
Las Mil y una Noches (Vol. I),978-84-204-7264-5,Cuentos Clasicos,Varios,Varios Autores
Los Detectives Salvajes,978-84-339-6663-3,Novela,1998,Roberto Bolaño
Tokio Blues (Norwegian Wood),978-84-8383-112-4,Novela Contemporanea,1987,Haruki Murakami
Balada de Pájaros Cantores y Serpientes,978-84-272-1926-7,Distopia Juvenil,2020,Suzanne Collins
La Conjura de los Necios,978-84-8383-114-8,Novela Satirica,1980,John Kennedy Toole
El Viejo y el Mar,978-84-9759-408-7,Novela Corta,1952,Ernest Hemingway
Viajes de Gulliver,978-84-9105-055-1,Sátira,1726,Jonathan Swift
Diario de un Skin,978-84-9759-322-6,Novela Social,1992,Antonio Salas
Niebla,978-84-9105-037-7,Novela Filosofica,1914,Miguel de Unamuno
Crónicas Marcianas,978-84-450-7359-8,Ciencia Ficcion,1950,Ray Bradbury
El Héroe de las Mil Caras,978-84-493-2457-1,Mitologia,1949,Joseph Campbell
Las Flores del Mal,978-84-376-0276-9,Poesia,1857,Charles Baudelaire
El Nombre de la Rosa,978-84-9759-300-4,Misterio Historico,1980,Umberto Eco
El Silmarillion,978-84-450-7171-6,Fantasia,mil novecientos setenta y siete,J.R.R. Tolkien
La Peste,978-84-9759-323-3,Existencialismo,1947,Albert Camus
Los Buddenbrook,978-84-9105-039-1,Novela Familiar,1901,Thomas Mann
El Cuaderno de Noah,978-84-663-3560-0,Romance,1996,Nicholas Sparks
Siddhartha (Otra Edición),978-84-9105-025-4,Filosofia,1922,Hermann Hesse
La Hojarasca,978-84-9759-416-2,Realismo Magico,1955,Gabriel Garcia Marquez
Ensayo sobre el Discipulado,978-84-204-7472-4,Novela Filosofica,1995,Jose Saramago
Frankenstein,978-84-9105-078-0,Terror Gotico,1818,Mary Shelley
La Isla del Tesoro,978-84-9105-074-2,Aventura,1883,Robert Louis Stevenson
El Extranjero (Otra Edición),978-84-450-7170-9,Filosofia,1942,Albert Camus
La Niebla,978-84-9759-400-1,Terror,1980,Stephen King
Hacia Rutas Salvajes,978-84-9759-301-1,Biografico,1996,Jon Krakauer
El Libro de los Abrazos,978-84-323-1498-8,Relato Corto,1989,Eduardo Galeano
Los Amantes de Teruel,978-84-9105-095-7,Drama,1837,Juan Eugenio Hartzenbusch
La Sombra de un Gigante,978-84-01-00001-5,Novela Historica,1991,Ken Follett
Novela con ISBN Invalido 1,978-84-663-3988-8,Ficción,1999,Autor Falso
Novela con ISBN Invalido 2,978-84-376-0494-0,Ficción,2001,Autor Falso 2
Novela con ISBN Invalido 3,123-45-67890-1-2,Ficción,2010,Autor Falso 3
Novela con ISBN Invalido 4,978-84-376-0000-0,Ciencia Ficción,1975,Autor Falso 4
El Proceso,978-84-376-0000-1,Existencialismo,MILNOVECIENTOSVEINTICINCO,Franz Kafka
Hamlet,978-84-206-5536-1,Tragedia,Seiscientos,William Shakespeare
Cazadores de Sombras: Ciudad de Hueso,978-84-08-08573-0,Fantasía Juvenil,2007,Cassandra Clare
Los Tres Mosqueteros,978-84-204-7489-2,Aventura Histórica,1844,Alexandre Dumas
Crimen y Castigo (Otra Edición),978-84-376-0495-9,Novela Psicologica,1866,Fiodor Dostoievski
De Ratones y Hombres,978-84-345-0907-5,Realismo Social,38,John Steinbeck
El Diario de un Joven Enamorado,978-84-663-3561-7,Romance Juvenil,2011 (Reed),Nicholas Sparks
Divina Comedia,978-84-9105-023-0,Poema Épico,Siglo XIV,Dante Alighieri
Ficciones,978-84-204-7622-3,Relato Corto,,Jorge Luis Borges
Los Cuentos de Canterbury,978-84-9105-006-3,Cuentos Clásicos,DESCONOCIDO,Geoffrey Chaucer
El color púrpura,978-84-9989-100-9,Ficción Histórica,1982,Alice Walker
Sopa de Wuhan,978-84-08-00000-5,Ensayo,Dos mil veinte,Pablo Maurette
It (Eso),978-84-01-46049-4,Terror,1986,Stephen King
La Cabaña del Tío Tom,978-84-9105-089-6,Novela Social,1852,Harriet Beecher Stowe
El Lazarillo de Tormes,978-84-376-0660-6,Novela Picaresca,1554,Anónimo
Crónica del Pájaro que da Cuerda al Mundo,978-84-8383-111-7,Realismo Mágico,1994,Haruki Murakami
El Mago de Oz,978-84-261-0000-8,Fantasía Infantil,1900,L. Frank Baum
Una Habitación Propia,978-84-322-2978-8,Ensayo,1929,Virginia Woolf
El Extranjero (Error ISBN),978-84-339-2041-9,Filosofía,1942,Albert Camus
La Isla Misteriosa,978-84-670-3487-8,Aventura,1874,Julio Verne
Fortaleza Digital,978-84-08-08874-8,Thriller Tecnológico,1998,Dan Brown
La Tregua (Error Año),978-84-663-3532-7,Novela,1960(publicación),Mario Benedetti
El Camino,978-84-204-7388-8,Post-apocalíptico,Doscientos,Cormac McCarthy
Demian,978-84-264-1518-1,Novela Filosófica,1919,Hermann Hesse
Los Puentes de Madison,978-84-9759-405-6,Romance,1992,Robert James Waller
El Fantasma de la Ópera,978-84-9105-076-6,Gótico,1910,Gaston Leroux
Siddhartha (Error ISBN),978-84-264-1517-5,Filosofía,1922,Hermann Hesse
La Sombra del Halcón,978-84-01-46272-6,Novela Histórica,1994,Ken Follett
La Cenicienta,978-84-261-0800-1,Cuento de Hadas,Sin fecha,Charles Perrault
Crimen en el Orient Express,978-84-9105-046-9,Misterio,1934,Agatha Christie
El Lector,978-84-663-3052-0,Ficción Histórica,1995,Bernhard Schlink
Los Cuatro Acuerdos,978-84-663-3633-1,Autoayuda,1997,Miguel Ruiz
El Aleph,978-84-204-7623-0,Relato Corto,Cuarenta,Jorge Luis Borges
Momo,978-84-204-7390-1,Fantasía Infantil,1973,Michael Ende
El Perfume (Otra Edición),978-84-322-2977-8,Novela Histórica,1985,Patrick Suskind
El Arte de la Guerra,978-84-9105-000-0,Estrategia,500 a.C.,Sun Tzu
El Tercer Gemelo,978-84-08-08875-5,Thriller,1997,Ken Follett
Novela con ISBN Invalido 5,978-84-08-00000-9,Ficción,1990,Autor Falso 5
Cuentos de Amor de Locura y de Muerte,978-84-9105-071-1,Relato Corto,1917,Horacio Quiroga
La Vuelta al Mundo en Ochenta Días,978-84-670-3621-6,Aventura,1873,Julio Verne
El Silencio de los Corderos,978-84-9759-409-4,Thriller,1988,Thomas Harris
El Huevo del Ángel,978-84-8383-115-5,Ficción Surrealista,1992,Haruki Murakami
El Laberinto de la Soledad,978-968-16-1070-0,Ensayo,1950,Octavio Paz
La Reina Roja,978-84-666-5784-9,Fantasía Juvenil,2015,Victoria Aveyard
Los Hermanos Karamazov (Vol. I),978-84-9105-007-0,Novela Filosófica,1880,Fiodor Dostoievski
La Muerte y la Primavera,978-84-339-2042-0,Filosofía,1986,Mercè Rodoreda
El Misterio de la Cripta Embrujada,978-84-322-2822-4,Humor/Misterio,1983,Eduardo Mendoza
El Pozo de la Serpiente,978-84-01-46050-0,Terror,Novecientos,Stephen King
El Señor de las Moscas,978-84-450-7165-5,Aventura/Distopia,1954,William Golding
El Perfume (Error Año),978-84-322-2977-1,Novela Histórica,1985 (Publ.),Patrick Suskind
Saga Crepúsculo: Crepúsculo,978-84-9759-406-3,Fantasía Juvenil,2005,Stephenie Meyer
Alicia en el País de las Maravillas,978-84-9105-011-7,Fantasía Infantil,1865,Lewis Carroll
El Código Da Vinci (Error ISBN),978-84-08-04987-9,Thriller,2003,Dan Brown
La Cúpula,978-84-9989-107-8,Ciencia Ficción,2009,Stephen King
La Divina Comedia (Error Año),978-84-9105-023-0,Poema Épico,1300-1400,Dante Alighieri
El Sueño del Celta,978-84-663-3053-7,Novela Histórica,2010,Mario Vargas Llosa
Una Breve Historia del Tiempo,978-84-9105-090-2,Ciencia,1988,Stephen Hawking
La Carretera,978-84-204-7389-2,Post-apocalíptico,2006,Cormac McCarthy
El Dador,978-84-92918-03-8,Distopia Juvenil,1993,Lois Lowry
Las Nieves del Kilimanjaro,978-84-9759-410-0,Relato Corto,1936,Ernest Hemingway
La Sombra del Aguila,978-84-01-46273-3,Novela Histórica,1996,Ken Follett
La Regla de Tres,978-84-08-08876-2,Thriller,Casi dos mil,Dan Brown
El Manuscrito de Arena,978-84-204-7624-7,Relato Corto,1975,Jorge Luis Borges
Madame Bovary (Error ISBN),978-84-206-5389-9,Realismo,1856,Gustave Flaubert
El Hombre que Calculaba,978-84-670-3622-3,Aventura/Matemáticas,1938,Malba Tahan
Un Asunto Oscuro,978-84-9759-411-7,Thriller,1993,Stephen King
La Chica que Soñaba,978-84-08-08574-7,Misterio,2006,Stieg Larsson
El Castillo,978-84-376-0000-2,Existencialismo,1926 (Póstumo),Franz Kafka
El Ruido y la Furia,978-84-376-0661-3,Ficción Gótica,1929,William Faulkner
El Dedo del Diablo,978-84-9989-108-5,Ficción,1993,Alice Walker
La Noche de Tlatelolco,978-968-16-1071-7,Testimonio,1971,Elena Poniatowska
Novela con ISBN Invalido 6,978-84-666-5784-0,Fantasía,2017,Autor Falso 6
Misericordia,978-84-9105-008-7,Realismo,Noventa,Benito Pérez Galdós
El Bosque de los Pigmeos,978-84-08-08575-4,Aventura Juvenil,2004,Isabel Allende
Los Miserables (Tomo II),978-84-206-5544-3,Novela Histórica,1862,Victor Hugo
El Corán,978-84-9105-092-6,Religioso,Siglo VII,Muhammad
La Casa en Mango Street,978-84-339-2043-7,Novela Corta,1984,Sandra Cisneros
El Nombre del Viento (Error Año),978-84-01-35201-4,Fantasia Epica,2007 (Espanol),Patrick Rothfuss
La Telaraña de Carlota,978-84-261-0000-9,Infantil,1952,E.B. White
La Sombra de la Noche,978-84-9989-109-2,Terror,1979,Stephen King
La Caza del Octubre Rojo,978-84-01-46051-7,Thriller,1984,Tom Clancy
La Rosa de los Vientos,978-84-663-3562-4,Novela,1991,Nicholas Sparks
El Último Juramento,978-84-670-3623-0,Misterio,1929,Arthur Conan Doyle
Cuentos de la Selva,978-84-9105-072-8,Relato Corto,1918,Horacio Quiroga
La Conspiración,978-84-08-08877-9,Thriller Político,2002,Dan Brown
El Cementerio de Praga,978-84-9759-412-4,Misterio Histórico,2010,Umberto Eco
El Psicoanalista (Error ISBN),978-84-01-35251-0,Thriller Psicologico,2002,John Katzenbach
El Mundo de Sofía,978-84-204-7490-8,Novela Filosófica,1991,Jostein Gaarder
Novela con ISBN Invalido 7,978-84-376-0494-1,Realismo Mágico,2000,Autor Falso 7
El Amor en los Tiempos del Cólera (Error Año),978-84-9759-417-9,Romance,1985.,Gabriel Garcia Marquez
El Libro de la Selva,978-84-9105-093-3,Aventura Infantil,1894,Rudyard Kipling
La Guerra de los Mundos,978-84-670-3624-7,Ciencia Ficción,1898,H.G. Wells
La Llamada de Cthulhu,978-84-9105-079-7,Terror Cósmico,1928,H.P. Lovecraft
El Fin de la Eternidad,978-84-450-7172-3,Ciencia Ficción,1955,Isaac Asimov
El Mago de Oz (Error ISBN),978-84-261-0810-9,Fantasía Infantil,1900,L. Frank Baum
La Hojarasca (Otra Edición),978-84-9759-416-9,Realismo Magico,1955,Gabriel Garcia Marquez
El Poeta de la Corte,978-84-01-00002-2,Novela Historica,1993,Ken Follett
Novela con ISBN Invalido 8,978-84-376-0000-9,Ficción,1987,Autor Falso 8
Satanás,978-84-206-5545-3,Terror,Ciento cuarenta,Mario Mendoza
El Retorno del Rey,978-84-450-7389-7,Fantasia,1955,J.R.R. Tolkien
La Rebelión de Atlas,978-84-9989-105-4,Novela Filosófica,1957,Ayn Rand
Cuentos de la Alhambra,978-84-9105-080-3,Leyendas,1832 (Pub),Washington Irving
El Color del Miedo,978-84-9759-401-8,Thriller Psicologico,2001,Stephen King
El Cuaderno de Noah (Error ISBN),978-84-663-3560-9,Romance,1996,Nicholas Sparks
Las Sombras del Espejo,978-84-08-08576-1,Misterio,2005,Carlos Ruiz Zafon
El Mar, el Mar,978-84-339-2044-4,Novela,1978,Iris Murdoch
Las Aventuras de Huckleberry Finn,978-84-670-3691-9,Aventura Juvenil,1884,Mark Twain
El Último Hombre,978-84-9105-094-0,Ciencia Ficción,1826,Mary Shelley
El Despertar,978-84-204-7477-9,Clásico,1899,Kate Chopin
Novela con ISBN Invalido 9,978-84-376-0482-1,Epopeya,05,Autor Falso 9
El Alquimista (Error Año),978-84-08-06688-4,Novela Filosófica,Mil novecientos ochenta y ocho,Paulo Coelho
Crónicas de la Dragonlance: El Retorno de los Dragones,978-84-450-7173-0,Fantasía,1984,Margaret Weis
Cien Años de Soledad (Edición Rústica),978-84-663-3987-9,Realismo Magico,1967 (Rústica),Gabriel Garcia Marquez
La Odisea (Error Año),978-84-249-1423-2,Epopeya,A.C.,Homero
El Conde de Montecristo (Vol. II),978-84-204-7495-3,Aventura Histórica,1844,Alexandre Dumas
Don Quijote (Edición Bolsillo),978-84-233-5190-0,Clasico,1605/1615,Miguel de Cervantes
Memorias de una Geisha,978-84-9759-302-8,Ficción Histórica,1997,Arthur Golden
El Gato Negro y Otros Cuentos,978-84-9105-022-3,Terror Gotico,Mil novecientos,Edgar Allan Poe
La Ladrona de Libros (Error ISBN),978-84-9908-142-9,Novela Histórica,2005,Markus Zusak
El Padrino (Error Año),978-84-9759-335-6,Novela Negra,Se-senta y nueve,Mario Puzo
La Milla Verde,978-84-01-46052-4,Terror/Drama,1996,Stephen King
El Dios de las Pequeñas Cosas,978-84-9989-110-8,Ficción,1997,Arundhati Roy
El Lector (Error ISBN),978-84-663-3052-5,Ficción Histórica,1995,Bernhard Schlink
Los Juegos del Hambre: En Llamas,978-84-92918-04-5,Distopia Juvenil,2009,Suzanne Collins
La Guerra y la Paz (Vol. II),978-84-9105-183-1,Novela Historica,1869,Leon Tolstoi
El Hombre Invisible,978-84-450-7166-2,Ciencia Ficción,1897,H.G. Wells
La Ciudad y los Perros,978-84-663-3054-4,Novela Social,1963,Mario Vargas Llosa
La Celestina,978-84-376-0662-0,Tragedia,1499,Fernando de Rojas
El Cuento de la Criada,978-84-9989-111-5,Distopia,1985,Margaret Atwood
Novela con ISBN Invalido 10,978-84-206-5536-9,Tragedia,1999,Autor Falso 10
El Manuscrito de Arena (Error Año),978-84-204-7624-7,Relato Corto,Cero,Jorge Luis Borges
Los Cuentos de Beedle el Bardo,978-84-9838-192-3,Fantasía Juvenil,2008,J.K. Rowling
La Ladrona de Libros (Error Año),978-84-9908-142-1,Novela Histórica,Dos mil cinco,Markus Zusak
Carrie,978-84-01-46053-1,Terror,1974,Stephen King
El Principito (Otra Edición),978-84-261-0810-7,Fábula,1943,Antoine de Saint-Exupery
El Último Deseo,978-84-9062-730-2,Fantasía,1993,Andrzej Sapkowski
Las Crónicas de Narnia: El León, la Bruja y el Armario,978-84-08-06689-1,Fantasía Infantil,1950,C.S. Lewis
El Jinete sin Cabeza,978-84-9105-073-5,Leyendas,1820,Washington Irving
El Bosque de los Suicidas,978-84-9759-413-1,Thriller,2003,Stephen King
El Extranjero (Edición Coleccionista),978-84-339-2045-1,Filosofía,1942,Albert Camus
La Muerte de Artemio Cruz,978-968-16-1072-4,Novela Política,1962,Carlos Fuentes
El Laberinto de la Perdición,978-84-08-08577-8,Misterio/Thriller,2018,Carlos Ruiz Zafon
El Amor, las Mujeres y la Muerte,978-84-9105-024-7,Ensayo Filosófico,1908,Arthur Schopenhauer
La Naranja Mecánica,978-84-339-2046-8,Distopia,1962,Anthony Burgess
La Tierra de las Sombras,978-84-01-46274-0,Novela Histórica,1999,Ken Follett
La Tumba del Viento,978-84-663-3563-1,Romance,Cien,Nicholas Sparks
El Señor de los Anillos: Las Dos Torres,978-84-450-7274-9,Fantasia,1954,J.R.R. Tolkien
Novela con ISBN Invalido 11,978-84-08-08878-6,Thriller,1995,Autor Falso 11
El Cuento de Navidad,978-84-9105-096-4,Cuento Clásico,1843,Charles Dickens
La Casa de Bernarda Alba,978-84-376-0277-6,Teatro,1936,Federico Garcia Lorca
La Llama,978-84-9759-414-8,Thriller,1987,Stephen King
El Retrato de Dorian Gray (Error Año),978-84-450-7690-2,Gotico,Mil ochocientos noventa,Oscar Wilde
El Mundo Perdido,978-84-670-3625-4,Ciencia Ficción,1912,Arthur Conan Doyle
Las Aventuras de Alicia en el País de las Maravillas (Error ISBN),978-84-9105-011-9,Fantasía Infantil,1865,Lewis Carroll
Trópico de Cáncer,978-84-339-2047-5,Ficción,1934,Henry Miller
El Hombre de Arena,978-84-9105-082-7,Terror Gótico,1817,E.T.A. Hoffmann
Novela con ISBN Invalido 12,978-84-204-7463-5,Clásico Moderno,2001,Autor Falso 12
El Mundo de Sofía (Error Año),978-84-204-7490-8,Novela Filosófica,91,Jostein Gaarder
Crimen y Castigo (Error Año),978-84-376-0495-4,Novela Psicologica,1866.,Fiodor Dostoievski
Siddhartha (Error Año),978-84-264-1517-4,Filosofía,Mil novecientos veintidos,Hermann Hesse
La Sombra del Viento (Error Año),978-84-08-05701-1,Misterio/Thriller,2001 (Ed),Carlos Ruiz Zafon
La Casa de los Espíritus (Edición Especial),978-84-9989-090-9,Realismo Magico,1982,Isabel Allende
El Código Da Vinci (Error Año),978-84-08-04987-0,Thriller,2003 (Film),Dan Brown
La Metamorfosis (Error Año),978-84-376-0935-5,Existencialismo,Quince,Franz Kafka
El Cementerio de Praga (Error Año),978-84-9759-412-4,Misterio Histórico,Diez,Umberto Eco
El Psicoanalista (Error Año),978-84-01-35251-9,Thriller Psicologico,Dos mil dos,John Katzenbach
Poeta en Nueva York (Error Año),978-84-376-0275-2,Poesia,30,Federico Garcia Lorca
La Tregua (Error Año),978-84-663-3532-7,Novela,1960 Publicado,Mario Benedetti
Los Juegos del Hambre (Error Año),978-84-92918-02-1,Distopia Juvenil,08,Suzanne Collins
La Guerra y la Paz (Vol. I) (Error Año),978-84-9105-182-4,Novela Historica,1869 (Siglo XIX),Leon Tolstoi
El Guardián entre el Centeno (Error Año),978-84-450-7164-8,Novela de Formacion,Cincuenta y uno,J.D. Salinger
Veinte poemas de amor (Error Año),978-84-663-3162-6,Poesia,24,Pablo Neruda
Marina (Error Año),978-84-08-09519-8,Juvenil,Mil novecientos noventa y nueve,Carlos Ruiz Zafon
Sapiens: De animales a dioses (Error Año),978-84-9992-622-4,Historia,2014,Yuval Noah Harari
Cumbres Borrascosas (Otra Edición) (Error Año),978-84-206-5470-8,Gotico/Romance,1847,Emily Bronte
La Historia Interminable (Error Año),978-84-204-7389-5,Fantasia,1979-Publicación,Michael Ende
El Tunel (Error Año),978-84-322-2821-7,Existencialismo,1948,Ernesto Sabato
Como Agua para Chocolate (Error Año),978-84-7888-061-6,Realismo Magico,89,Laura Esquivel
Lo que el viento se llevó (Error Año),978-84-9105-081-0,Romance Historico,1936,Margaret Mitchell
El Corazón de las Tinieblas (Error Año),978-84-376-0278-3,Novela Psicologica,1899,Joseph Conrad
Madame Bovary (Error Año),978-84-206-5389-3,Realismo,56,Gustave Flaubert
La Dama de las Camelias (Error Año),978-84-204-7476-2,Romance Clasico,1848,Alexandre Dumas (hijo)
Narraciones Extraordinarias (Error Año),978-84-9105-021-6,Terror Gotico,1840 (Antiguo),Edgar Allan Poe
Cantar de Mio Cid (Error Año),978-84-376-0482-4,Epopeya,Siglo XII,Anonimo
El Juego de Ender (Error Año),978-84-9800-098-9,Ciencia Ficcion,1985 (Original),Orson Scott Card
Novela con ISBN Invalido 13,978-84-376-0000-0,Ciencia Ficción,1995,Autor Falso 13
Los Detectives Salvajes (Error Año),978-84-339-6663-3,Novela,Noventa y ocho,Roberto Bolaño
Tokio Blues (Norwegian Wood) (Error Año),978-84-8383-112-4,Novela Contemporanea,87,Haruki Murakami
Balada de Pájaros Cantores y Serpientes (Error Año),978-84-272-1926-7,Distopia Juvenil,2020,Suzanne Collins
La Conjura de los Necios (Error Año),978-84-8383-114-8,Novela Satirica,1980,John Kennedy Toole
El Viejo y el Mar (Error Año),978-84-9759-408-7,Novela Corta,52,Ernest Hemingway
Viajes de Gulliver (Error Año),978-84-9105-055-1,Sátira,1726,Jonathan Swift
Diario de un Skin (Error Año),978-84-9759-322-6,Novela Social,1992,Antonio Salas
Niebla (Error Año),978-84-9105-037-7,Novela Filosofica,14,Miguel de Unamuno
Crónicas Marcianas (Error Año),978-84-450-7359-8,Ciencia Ficcion,1950,Ray Bradbury
El Héroe de las Mil Caras (Error Año),978-84-493-2457-1,Mitologia,1949,Joseph Campbell
Las Flores del Mal (Error Año),978-84-376-0276-9,Poesia,1857,Charles Baudelaire
El Nombre de la Rosa (Error Año),978-84-9759-300-4,Misterio Historico,Mil novecientos ochenta,Umberto Eco
El Silmarillion (Error Año),978-84-450-7171-6,Fantasia,1977,J.R.R. Tolkien
La Peste (Error Año),978-84-9759-323-3,Existencialismo,47,Albert Camus
Los Buddenbrook (Error Año),978-84-9105-039-1,Novela Familiar,1901,Thomas Mann
El Cuaderno de Noah (Error Año),978-84-663-3560-0,Romance,96,Nicholas Sparks
Siddhartha (Otra Edición) (Error Año),978-84-9105-025-4,Filosofia,1922-original,Hermann Hesse
La Hojarasca (Error Año),978-84-9759-416-2,Realismo Magico,Cincuenta y cinco,Gabriel Garcia Marquez
Ensayo sobre el Discipulado (Error Año),978-84-204-7472-4,Novela Filosofica,1995,Jose Saramago
Frankenstein (Error Año),978-84-9105-078-0,Terror Gotico,1818,Mary Shelley
La Isla del Tesoro (Error Año),978-84-9105-074-2,Aventura,1883,Robert Louis Stevenson
El Extranjero (Otra Edición) (Error Año),978-84-450-7170-9,Filosofia,1942,Albert Camus
La Niebla (Error Año),978-84-9759-400-1,Terror,Ochenta,Stephen King
Hacia Rutas Salvajes (Error Año),978-84-9759-301-1,Biografico,1996,Jon Krakauer
