Titulo,ISBN,Genero,Año,Autor
Madame Bovary,978-84-9105-160-2,Romance,1856,Gustave Flaubert
La Casa de los Espíritus,978-84-9105-162-6,Realismo Magico,1982,Isabel Allende
El Alquimista,978-84-9105-170-1,Filosofico,1988,Paulo Coelho
Cien Poemas de Amor,978-84-9105-172-5,Poesia,1952,Pablo Neruda
El Nombre de la Rosa,978-84-9105-180-0,Misterio Historico,1980,Umberto Eco
La Sombra del Viento,978-84-9105-182-4,Misterio,2001,Carlos Ruiz Zafon
Donde los Árboles Cantan,978-84-9105-190-9,Fantasia Juvenil,2011,Laura Gallego
El Codigo Da Vinci,978-84-9105-192-3,Thriller,2003,Dan Brown
Inferno,978-84-9105-200-7,Thriller,2013,Dan Brown
El Silencio de los Corderos,978-84-9105-202-1,Terror Psicologico,1988,Thomas Harris
It,978-84-9105-210-6,Terror,1986,Stephen King
El Resplandor,978-84-9105-212-0,Terror,1977,Stephen King
Carrie,978-84-9105-214-4,Terror,1974,Stephen King
Misery,978-84-9105-216-8,Terror Psicologico,1987,Stephen King
Cementerio de Animales,978-84-9105-220-5,Terror,1983,Stephen King
El Instituto,978-84-9105-222-9,Suspenso,2019,Stephen King
Doctor Sueño,978-84-9105-224-3,Terror,2013,Stephen King
La Zona Muerta,978-84-9105-226-7,Thriller,1979,Stephen King
La Tienda,978-84-9105-228-1,Terror,1991,Stephen King
Bajo la Misma Estrella,978-84-9105-230-4,Romance Juvenil,2012,John Green
Ciudades de Papel,978-84-9105-232-8,Romance Juvenil,2008,John Green
Buscando a Alaska,978-84-9105-234-2,Drama Juvenil,2005,John Green
Tartarín de Tarascón,978-84-9105-236-6,Aventura,1872,Alphonse Daudet
El Perfume,978-84-9105-238-0,Misterio,1985,Patrick Suskind
Las Aventuras de Tom Sawyer,978-84-9105-240-3,Juvenil,1876,Mark Twain
Las Aventuras de Huckleberry Finn,978-84-9105-242-7,Juvenil,1884,Mark Twain
Mujercitas,978-84-9105-244-1,Clasico,1868,Louisa May Alcott
Alicia en el Pais de las Maravillas,978-84-9105-246-5,Fabula,1865,Lewis Carroll
A Través del Espejo,978-84-9105-248-9,Fabula,1871,Lewis Carroll
La Guerra de los Mundos,978-84-9105-250-2,Ciencia Ficcion,1898,H.G. Wells
El Hombre Invisible,978-84-9105-252-6,Ciencia Ficcion,1897,H.G. Wells
La Maquina del Tiempo,978-84-9105-254-0,Ciencia Ficcion,1895,H.G. Wells
Fundacion,978-84-9105-256-4,Ciencia Ficcion,1951,Isaac Asimov
Yo, Robot,978-84-9105-258-8,Ciencia Ficcion,1950,Isaac Asimov
Los Propios Dioses,978-84-9105-260-1,Ciencia Ficcion,1972,Isaac Asimov
Neuromante,978-84-9105-262-5,Ciberpunk,1984,William Gibson
Snow Crash,978-84-9105-264-9,Ciberpunk,1992,Neal Stephenson
Criptonomicon,978-84-9105-266-3,Tecnologico,1999,Neal Stephenson
Ready Player One,978-84-9105-268-7,Ciencia Ficcion,2011,Ernest Cline
El Juego de Ender,978-84-9105-270-0,Ciencia Ficcion,1985,Orson Scott Card
La Voz de los Muertos,978-84-9105-272-4,Ciencia Ficcion,1986,Orson Scott Card
Dune,978-84-9105-274-8,Ciencia Ficcion,1965,Frank Herbert
El Mesias de Dune,978-84-9105-276-2,Ciencia Ficcion,1969,Frank Herbert
Hijos de Dune,978-84-9105-278-6,Ciencia Ficcion,1976,Frank Herbert
Dios Emperador de Dune,978-84-9105-280-9,Ciencia Ficcion,1981,Frank Herbert
Cazadores de Sombras: Ciudad de Hueso,978-84-9105-282-3,Fantasia Urbana,2007,Cassandra Clare
Ciudad de Ceniza,978-84-9105-284-7,Fantasia Urbana,2008,Cassandra Clare
Ciudad de Cristal,978-84-9105-286-1,Fantasia Urbana,2009,Cassandra Clare
Ciudad de los Angeles Caidos,978-84-9105-288-5,Fantasia Urbana,2011,Cassandra Clare
Ciudad de las Almas Perdidas,978-84-9105-290-8,Fantasia Urbana,2012,Cassandra Clare
Ciudad del Fuego Celestial,978-84-9105-292-2,Fantasia Urbana,2014,Cassandra Clare
Los Juegos del Hambre,978-84-9105-294-6,Distopia Juvenil,2008,Suzanne Collins
En Llamas,978-84-9105-296-0,Distopia Juvenil,2009,Suzanne Collins
Sinsajo,978-84-9105-298-4,Distopia Juvenil,2010,Suzanne Collins
Divergente,978-84-9105-300-7,Distopia Juvenil,2011,Veronica Roth
Insurgente,978-84-9105-302-1,Distopia Juvenil,2012,Veronica Roth
Leal,978-84-9105-304-5,Distopia Juvenil,2013,Veronica Roth
El Marciano,978-84-9105-306-9,Ciencia Ficcion,2011,Andy Weir
Artemisa,978-84-9105-308-3,Ciencia Ficcion,2017,Andy Weir
Proyecto Hail Mary,978-84-9105-310-7,Ciencia Ficcion,2021,Andy Weir
Sapiens,978-84-9105-312-1,Ensayo,2011,Yuval Noah Harari
Homo Deus,978-84-9105-314-5,Ensayo,2015,Yuval Noah Harari
21 Lecciones para el Siglo XXI,978-84-9105-316-9,Ensayo,2018,Yuval Noah Harari
La Chica del Tren,978-84-9105-318-3,Thriller,2015,Paula Hawkins
Detras de sus Ojos,978-84-9105-320-6,Suspenso,2017,Sarah Pinborough
El Psicoanalista,978-84-9105-322-0,Suspenso Psicologico,2002,John Katzenbach
Un Final Perfecto,978-84-9105-324-4,Suspenso,2012,John Katzenbach
La Historia del Loco,978-84-9105-326-8,Thriller Psicologico,2004,John Katzenbach
El Hombre Equivocado,978-84-9105-328-2,Thriller,2009,John Katzenbach
El Club Dumas,978-84-9105-330-5,Misterio,1993,Arturo Perez-Reverte
La Tabla de Flandes,978-84-9105-332-9,Misterio,1990,Arturo Perez-Reverte
La Reina del Sur,978-84-9105-334-3,Accion,2002,Arturo Perez-Reverte
El Asedio,978-84-9105-336-7,Historica,2010,Arturo Perez-Reverte
Hombres Buenos,978-84-9105-338-1,Historica,2015,Arturo Perez-Reverte
Sidi,978-84-9105-340-4,Historica,2019,Arturo Perez-Reverte
Territorio Comanche,978-84-9105-342-8,Belica,1994,Arturo Perez-Reverte
La Carta Esferica,978-84-9105-344-2,Aventura,2000,Arturo Perez-Reverte
Los Pilares de la Tierra,978-84-9105-346-6,Historica,1989,Ken Follett
Un Mundo Sin Fin,978-84-9105-348-0,Historica,2007,Ken Follett
Una Columna de Fuego,978-84-9105-350-3,Historica,2017,Ken Follett
El Invierno del Mundo,978-84-9105-352-7,Historica,2012,Ken Follett
El Umbral de la Eternidad,978-84-9105-354-1,Historica,2014,Ken Follett
La Caida de los Gigantes,978-84-9105-356-5,Historica,2010,Ken Follett
Noche y Dia,978-84-9105-358-9,Romance,2020,Lucia Graves
Bajo Cielos Rojos,978-84-9105-360-2,Romance,2018,Mark Sullivan
La Luz Que No Puedes Ver,978-84-9105-362-6,Drama Historico,2014,Anthony Doerr
Toda la Luz que no Podemos Ver,978-84-9105-364-0,Drama Historico,2014,Anthony Doerr
La Ladrona de Libros,978-84-9105-366-4,Drama Historico,2005,Markus Zusak
Yo Antes de Ti,978-84-9105-368-8,Romance,2012,Jojo Moyes
Despues de Ti,978-84-9105-370-1,Romance,2015,Jojo Moyes
Sigo Siendo Yo,978-84-9105-372-5,Romance,2018,Jojo Moyes
El Tiempo Entre Costuras,978-84-9105-374-9,Historica,2009,Maria Dueñas
La Templanza,978-84-9105-376-3,Historica,2015,Maria Dueñas
Sira,978-84-9105-378-7,Historica,2021,Maria Dueñas
Los Renglones Torcidos de Dios,978-84-9105-380-0,Suspenso,1979,Torcuato Luca de Tena
El Ocho,978-84-9105-382-4,Misterio,1988,Katherine Neville
El Fuego,978-84-9105-384-8,Misterio,2008,Katherine Neville
Los Secretos del Inmortal Nicolas Flamel,978-84-9105-386-2,Fantasia,2007,Michael Scott
El Mago,978-84-9105-388-6,Fantasia,2008,Michael Scott
La Hechicera,978-84-9105-390-9,Fantasia,2009,Michael Scott
El Nigromante,978-84-9105-392-3,Fantasia,2010,Michael Scott
El Alquimista (Flamel),978-84-9105-394-7,Fantasia,2007,Michael Scott
Los Huesos del Escriba,978-84-9105-396-1,Aventura,2010,Michael Scott
Percy Jackson y el Ladron del Rayo,978-84-9105-398-5,Fantasia Juvenil,2005,Rick Riordan
El Mar de los Monstruos,978-84-9105-400-8,Fantasia Juvenil,2006,Rick Riordan
La Maldicion del Titan,978-84-9105-402-2,Fantasia Juvenil,2007,Rick Riordan
La Batalla del Laberinto,978-84-9105-404-6,Fantasia Juvenil,2008,Rick Riordan
El Ultimo Heroe del Olimpo,978-84-9105-406-0,Fantasia Juvenil,2009,Rick Riordan
El Heroe Perdido,978-84-9105-408-4,Fantasia Juvenil,2010,Rick Riordan
El Hijo de Neptuno,978-84-9105-410-8,Fantasia Juvenil,2011,Rick Riordan
La Marca de Atenea,978-84-9105-412-2,Fantasia Juvenil,2012,Rick Riordan
La Casa de Hades,978-84-9105-414-6,Fantasia Juvenil,2013,Rick Riordan
La Sangre del Olimpo,978-84-9105-416-0,Fantasia Juvenil,2014,Rick Riordan
El Ladrón del Trueno,978-84-9105-418-4,Fantasia Juvenil,2015,Rick Riordan
Magnus Chase y los Dioses de Asgard,978-84-9105-420-8,Fantasia,2015,Rick Riordan
Los Dioses del Norte,978-84-9105-422-2,Fantasia,2016,Rick Riordan
El Barco de los Muertos,978-84-9105-424-6,Fantasia,2017,Rick Riordan
La Espada del Verano,978-84-9105-426-0,Fantasia,2015,Rick Riordan
El Origen Perdido,978-84-9105-428-4,Misterio,2003,Matilde Asensi
Todo Bajo el Cielo,978-84-9105-430-7,Aventura,2006,Matilde Asensi
El Ultimo Caton,978-84-9105-432-1,Misterio,1999,Matilde Asensi
El Regreso del Caton,978-84-9105-434-5,Misterio,2015,Matilde Asensi
Tierra Firme,978-84-9105-436-9,Aventura Historica,2007,Matilde Asensi
Venganza en Sevilla,978-84-9105-438-3,Aventura Historica,2010,Matilde Asensi
La Conjura de Cortes,978-84-9105-440-6,Aventura Historica,2012,Matilde Asensi
Patria,978-84-9105-442-0,Drama Historico,2016,Fernando Aramburu
Los Asquerosos,978-84-9105-444-4,Satira,2018,Santiago Lorenzo
Intemperie,978-84-9105-446-8,Drama Rural,2013,Jesus Carrasco
Loba Negra,978-84-9105-448-2,Thriller,2019,Juan Gomez-Jurado
Reina Roja,978-84-9105-450-5,Thriller,2018,Juan Gomez-Jurado
Rey Blanco,978-84-9105-452-9,Thriller,2020,Juan Gomez-Jurado
Cicatriz,978-84-9105-454-3,Thriller,2015,Juan Gomez-Jurado
El Paciente,978-84-9105-456-7,Suspenso,2014,Juan Gomez-Jurado
Todo Arde,978-84-9105-458-1,Thriller,2023,Juan Gomez-Jurado
Todo Vuelve,978-84-9105-460-4,Thriller,2024,Juan Gomez-Jurado
El Cuco de Cristal,978-84-9105-462-8,Suspenso,2022,Javier Castillo
La Chica de Nieve,978-84-9105-464-2,Suspenso,2020,Javier Castillo
El Dia que se Perdió la Cordura,978-84-9105-466-6,Suspenso,2017,Javier Castillo
El Dia que se Perdió el Amor,978-84-9105-468-0,Suspenso,2018,Javier Castillo
El Juego del Alma,978-84-9105-470-3,Suspenso,2021,Javier Castillo
La Espia Roja,978-84-9105-472-7,Historica,2017,Clara Sanchez
El Cielo Ha Vuelto,978-84-9105-474-1,Drama,2013,Clara Sanchez
Lo que Esconde tu Nombre,978-84-9105-476-5,Drama,2010,Clara Sanchez
Presentimientos,978-84-9105-478-9,Romance,2008,Clara Sanchez
La Sonrisa Etrusca,978-84-9105-480-2,Drama,1985,Jose Luis Sampedro
El Rio que Nos Lleva,978-84-9105-482-6,Aventura,1961,Jose Luis Sampedro
Octubre, Octubre,978-84-9105-484-0,Drama,1981,Jose Luis Sampedro
Real Sitio,978-84-9105-486-4,Drama,1993,Jose Luis Sampedro
La Vieja Sirena,978-84-9105-488-8,Mitologico,1990,Jose Luis Sampedro
El Amante Japones,978-84-9105-490-1,Romance Historico,2015,Isabel Allende
Violeta,978-84-9105-492-5,Drama Historico,2022,Isabel Allende
Paula,978-84-9105-494-9,Biografia,1994,Isabel Allende
Eva Luna,978-84-9105-496-3,Realismo Magico,1987,Isabel Allende
Retrato en Sepia,978-84-9105-498-7,Historica,2000,Isabel Allende
Hija de la Fortuna,978-84-9105-500-0,Historica,1999,Isabel Allende
Ines del Alma Mia,978-84-9105-502-4,Historica,2006,Isabel Allende
La Isla Bajo el Mar,978-84-9105-504-8,Historica,2009,Isabel Allende
El Bosque de los Pigmeos,978-84-9105-506-2,Aventura,2004,Isabel Allende
El Plan Infinito,978-84-9105-508-6,Drama,1991,Isabel Allende
Memorias de una Geisha,978-84-9105-510-9,Historica,1997,Arthur Golden
El Niño con el Pijama de Rayas,978-84-9105-512-3,Drama Historico,2006,John Boyne
El Circo de la Noche,978-84-9105-514-7,Fantasia,2011,Erin Morgenstern
La Casa del Lago,978-84-9105-516-1,Misterio,2015,Kate Morton
El Jardin Olvidado,978-84-9105-518-5,Misterio,2008,Kate Morton
Las Horas Distantes,978-84-9105-520-8,Misterio,2010,Kate Morton
El Cumpleaños Secreto,978-84-9105-522-2,Misterio,2012,Kate Morton
La Hija del Relojero,978-84-9105-524-6,Misterio,2018,Kate Morton
El Castillo de Cristal,978-84-9105-526-0,Memorias,2005,Jeannette Walls
Educated (Una Educación),978-84-9105-528-4,Memorias,2018,Tara Westover
Cometas en el Cielo,978-84-9105-530-8,Drama,2003,Khaled Hosseini
Mil Soles Esplendidos,978-84-9105-532-2,Drama,2007,Khaled Hosseini
Y las Montañas Hablaron,978-84-9105-534-6,Drama,2013,Khaled Hosseini
Los Secretos que Jamás Contamos,978-84-9105-536-0,Drama,2020,Lucinda Riley
Las Siete Hermanas,978-84-9105-538-4,Saga Familiar,2014,Lucinda Riley
La Hermana Tormenta,978-84-9105-540-8,Saga Familiar,2015,Lucinda Riley
La Hermana Sombra,978-84-9105-542-2,Saga Familiar,2016,Lucinda Riley
La Hermana Perla,978-84-9105-544-6,Saga Familiar,2017,Lucinda Riley
La Hermana Luna,978-84-9105-546-0,Saga Familiar,2019,Lucinda Riley
La Hermana Sol,978-84-9105-548-4,Saga Familiar,2021,Lucinda Riley
La Historia de Maia,978-84-9105-550-7,Romance,2014,Lucinda Riley
La Casa de Riverton,978-84-9105-552-1,Misterio,2006,Kate Morton
Los Cazadores de Sombras: Los Orígenes,978-84-9105-554-5,Fantasia,2010,Cassandra Clare
Ángel Mecánico,978-84-9105-556-9,Fantasia,2010,Cassandra Clare
Príncipe Mecánico,978-84-9105-558-3,Fantasia,2011,Cassandra Clare
Princesa Mecánica,978-84-9105-560-7,Fantasia,2013,Cassandra Clare
El Trono de Cristal,978-84-9105-562-1,Fantasia,2012,Sarah J. Maas
Corona de Medianoche,978-84-9105-564-5,Fantasia,2013,Sarah J. Maas
Heredera de Fuego,978-84-9105-566-9,Fantasia,2014,Sarah J. Maas
Reina de las Sombras,978-84-9105-568-3,Fantasia,2015,Sarah J. Maas
Imperio de Tormentas,978-84-9105-570-7,Fantasia,2016,Sarah J. Maas
Torre del Alba,978-84-9105-572-1,Fantasia,2017,Sarah J. Maas
Reino de Cenizas,978-84-9105-574-5,Fantasia,2018,Sarah J. Maas
Una Corte de Rosas y Espinas,978-84-9105-576-9,Fantasia Romantica,2015,Sarah J. Maas
Una Corte de Niebla y Furia,978-84-9105-578-3,Fantasia Romantica,2016,Sarah J. Maas
Una Corte de Alas y Ruina,978-84-9105-580-7,Fantasia Romantica,2017,Sarah J. Maas
Una Corte de Escarcha y Luz de Estrellas,978-84-9105-582-1,Fantasia Romantica,2018,Sarah J. Maas
Cazadores de Sombras: Renacimiento,978-84-9105-584-5,Fantasia,2016,Cassandra Clare
Lady Midnight,978-84-9105-586-9,Fantasia,2016,Cassandra Clare
El Señor de las Sombras,978-84-9105-588-3,Fantasia,2017,Cassandra Clare
La Reina del Aire y la Oscuridad,978-84-9105-590-7,Fantasia,2018,Cassandra Clare
Los Reinos Olvidados,978-84-9105-592-1,Fantasia Epica,1990,R.A. Salvatore
El Valle del Viento Helado,978-84-9105-594-5,Fantasia Epica,1988,R.A. Salvatore
La Morada,978-84-9105-596-9,Fantasia Epica,1990,R.A. Salvatore
El Exilio,978-84-9105-598-3,Fantasia Epica,1990,R.A. Salvatore
El Refugio,978-84-9105-600-6,Fantasia Epica,1991,R.A. Salvatore
El Legado,978-84-9105-602-0,Fantasia Epica,1992,R.A. Salvatore
Noche Sin Estrellas,978-84-9105-604-4,Fantasia Epica,1993,R.A. Salvatore
La Columna del Mundo,978-84-9105-606-8,Fantasia Epica,1994,R.A. Salvatore
El Mar de las Espadas,978-84-9105-608-2,Fantasia Epica,2001,R.A. Salvatore
Los Compañeros,978-84-9105-610-5,Fantasia Epica,2013,R.A. Salvatore
El Camino de los Reyes,978-84-9105-612-9,Fantasia Epica,2010,Brandon Sanderson
Palabras Radiantes,978-84-9105-614-3,Fantasia Epica,2014,Brandon Sanderson
Juramentada,978-84-9105-616-7,Fantasia Epica,2017,Brandon Sanderson
El Ritmo de la Guerra,978-84-9105-618-1,Fantasia Epica,2020,Brandon Sanderson
El Imperio Final,978-84-9105-620-4,Fantasia,2006,Brandon Sanderson
El Pozo de la Ascension,978-84-9105-622-8,Fantasia,2007,Brandon Sanderson
El Heroe de las Eras,978-84-9105-624-2,Fantasia,2008,Brandon Sanderson
Aleacion de Ley,978-84-9105-626-6,Fantasia,2011,Brandon Sanderson
Sombras de Identidad,978-84-9105-628-0,Fantasia,2015,Brandon Sanderson
Brazales de Duelo,978-84-9105-630-3,Fantasia,2016,Brandon Sanderson
El Metal Perdido,978-84-9105-632-7,Fantasia,2022,Brandon Sanderson
El Archivo de las Tormentas,978-84-9105-634-1,Fantasia Epica,2010,Brandon Sanderson
Elantris,978-84-9105-636-5,Fantasia,2005,Brandon Sanderson
Warbreaker,978-84-9105-638-9,Fantasia,2009,Brandon Sanderson
Arena Blanca,978-84-9105-640-2,Fantasia,2016,Brandon Sanderson


